name,full_name,date,year,image,medium,dimensions,tools,type,description,url,external_url
VCUarts Alumni Gift Guide,VCUarts Alumni Gift Guide,"Oct. 14,",2022,,Website,,"[Wordpress, CSS, HTML, JS]","[web design, UI/UX]",,,https://go.arts.vcu.edu/alumni-gift-guide
Guide to GDES,The Survival Guide to GDES,"Oct,",2021,,Pamphlet,"11"" x 17"" (unfolded)","[inDesign, Illustrator]",[interaction design],,,
Plants and Mankind,Plants and Mankind,Fall,2020,,Book publication,"5.5"" x 8.5""","[inDesign, Illustrator, Procreate]",,,,
VCUarts Internship,VCUarts Internship,2019 –,2021,,,,,,,,
Dr. Yasmiyn Irizarry,Dr. Yasmiyn Irizarry Website,Spring,2022,,Website mockups,,[Adobe XD],,,,
Kyree's Squishies,Kyree's Squishies – Passion Website,Spring,2022,,Hand coded website,,"[CSS, HTML, JS]",[web design],,,https://cowthat.github.io/class-site/projects/final-site/index.html
Billionaires and the Wealth Gap,Billionaires and the Wealth Gap in America,Fall,2021,,Pamphlet,,"[inDesign, Illustrator, Procreate, Photoshop]",,,,
,,,,,,,,,,,
The World of Asteria,The World of Asteria: From Above and Below,May,2022,,Book publication,"5.5"" x 8.5""","[inDesign, Procreate]",,,,
sitting alone at a rave.,sitting alone at a rave.,Spring,2021,,Digital collage posters,Size varies,[Photoshop],,,,
Collaborative Dialogue,Collaborative Dialogue,Spring,2022,,Digital collages,"8"" x 8""",,,,,
Corporate Zine,Corporate Zine,Spring,2021,,Book publication,"5.5"" x 8.5""","[inDesign, Procreate, Illustrator]",,,,
Flowerboy,Flowerboy,Spring,2021,,Album cover redesign,,[Photoshop],,,,
"Home Alone, Together","Home Alone, Together",Spring,2021,,"Zine, poster, and website",,,,,,
NDC internship,NDC internship,2019 –,2020,,,,,,,,
FUG,FUG,Spring,2022,,Digital drawing,,[Procreate],,,,
ASL,ASL,Spring,2022,,,,[Premiere Pro],,,,
Portraits,Portraits,2020 –,2021,,Portrait drawings,,,,,,
